content,score,at
"Untuk Aplikasinya bagus, tapi kenapa ketika selesai saya update setiap membuat story foto selalu lemot dan kadang menghilang sedangkan membuat story video aman"" saja. Pliss semoga aplikasi Instagram kedepannya lebih bagus lagi dan ada perbaikan. Terimakasih",5,2023-11-07 11:29:40
Apk tak dapat digunakan. Saat daftar dia bilang : halaman ini ........ Mohon muat ulang. Saya sudah mencoba dengan tutorial di youtube dan tetap sama saja. Dan berkali kali dan tak ada hasil sama sekali. Mohon untuk segera memperbaiki nya. 😓,1,2023-11-07 09:46:54
"Kok saya dibilang keluar dr akun sampek 3 kali ya, padahal sy tidak melakukannya. Untung nyoba login lg dg menulis password bisa. Ini ngelag atau gimana ya, sy kira bug tp ternyata blm ada opsi update lagi di playstore ini",3,2023-11-07 04:10:35
"Awal nya sih bagus, tapi ko lama kelamaan jadi gajelas gini Instagram dimulai dari gabisa unfoll/follow akun, setiap bikin postingan lebih dari 2 foto musiknya ga muncul",2,2023-11-07 01:12:09
"Makin ribet,mau follow sponsor cepat di tag foto tapi enggak terlihat follow,harus di buka akun satu"" buat mengikuti,ribet banget buat yg mau ikutan giveaway,dulu mudah kalo sponsor di foto tinggal klik Sampek bawah udah follow, sekarang malah harus buka profil satu"" buat follow,capek kenapa sih Instagram malah bukan makin maju malah bikin ribet . tolong Dong mudahkan dan perbaiki",1,2023-11-07 00:02:03
"banyak banget bug sama error sumpah, suka ada hal yang ilang mkstnya apa, ntar ada ntar gaada gitu anjer sebal, bio suka ga bisa di ganti, pfp loding gantinya lama bat bisa seabad, tp sy suka apk ini jd tak kasi 4 bintang Perbaiki dong pls ig jangan bug mlu",4,2023-11-06 20:23:43
"Kenapa di akun pertama tidak bisa menggunakan sound postingan feed foto dgn 2 atau lebih slide foto, sedangkan di akun kedua atau lainnya di device yg sama bisa menggunakannya, tolong dong di perbaikannya!!",1,2023-11-06 19:19:27
"Ayolah perbaiki lagiii!!!!. Udah dari dulu belum diperbaiki. Jadi, saat gw mau upload foto berlagu di story masa durasinya dipotong jadi 5 atau 10 detik, ga adil dong. Jadi MOHON DIPERBAIKI LAGIII KEDEPANNYA OKEE?",2,2023-11-06 18:51:18
"Aplikasi ini bagus banget multifungsi banget,, informasi,, edukasi,banyak filter2 bagus,, dan bisa pake musik. Dan saya juga bisa berjualan lewat Instagram ini",5,2023-11-06 18:39:20
"Terdapat bug yang sangat meresahkan saat bergonta ganti akun, disaat diminta memasukan password, password yang diisi salah.. padahal sudah pas dengan password yang ada. Tapi ketika saya coba ketik ulang password nya untuk melakukan reset sandi, password yang saya ketik benar 100% dan diterima oleh sistem, tapi ketika saya mencoba login memakai passsord yang sama malah sistem berkata bahwa password tidak sesuai. Ini sangat menyulitkan sekali untuk gonta ganti akun, tolong diperbaiki secepatnya.",1,2023-11-05 20:51:54
"kenapa reels yg lewat di story skrng tdk bisa di klik lagi?harus menonton semua reels yg berbeda,tdk sesuai dg reels yg disarankan tdi,kecewa dg update an nya. serta terdapat bug pd akun Instagram bila di tag oleh teman di story,tdk bisa 1× klik dg mode layar penuh Tolong di perbaiki ya Instagram🙏 jngn smpe saya beralih ke apk yg lain",1,2023-11-05 19:20:02
"Ini instagram saya kalau mau upload story gak bisa pakek musik dan kata-kata secara bersamaan, dia tidak akan terpost ke story itu gmn ya?? Masa kalau mau pakek kedua nya digabungkan tidak bisa. Tolong dong perbaikan nya instagram",2,2023-11-05 15:25:50
Sngat suka dengan aplikasi instagram ini karena semakin kesini semakin banyak yg baru dan bikin penasaran. Mungkinn sedikit kritikan kalo bisa di blokir saja iklan iklan yg berbau judi online karena sangat mengganggu kenyamanan saat menggunakan aplikasi instagram ini. Sudah bosen dengan gangguan gangguan iklan judi online ug sering muncul di halaman beranda ataupun di story jika bisa di tindak lanjuti. Karna tujuan saya menggunakan instagram adalah untuk mencari tahu informasi dan menambah teman,5,2023-11-04 01:26:33
"Plisss semua komen terbaru sama sesuai seperti yang saya alami,apalagi pas buka foto/video untuk story malah jadi bug hitam gajelas pesan² hilang gitu aja aneh banget bikin kecewa tolong segera perbaiki",1,2023-11-03 23:34:08
"Ini kenapa yaa kok Instagram saya gabisa di update padahal ruang penyimpanan masih banyak dan memadai untuk update, jaringan juga bagus buat download yang lain lancar semua. Kenapa ini sebel banget gabisa di-update",1,2023-11-03 22:08:20
"Pengaturan akun instagram membingungkan, isinya juga berantakan bikin pusing, tolong lebih dirapikan dan konsisten untuk pengelompokan pengaturannya, fitur untuk melihat nama pengguna sebelumnya sudah tidak ada, padahal sangat berguna",3,2023-11-03 13:13:49
"Dari awal download aplikasi ini saya tdk bs memperkecil ukuran foto sekecil²nya untuk diupload, sll sj foto terpotong, makanya saya jarang main aplikasi ini,bagi saya aplikasi ini kurang menarik, apalagi kalau saya mau upload video udah pasti tu berasa video zoom semua",1,2023-11-02 22:44:53
"Bagusan ig versi sebelumnya yg terbaru ga bgt... Susah buat bikin edit story real semua di persulit... Tolong di perbaiki template huruf juga sedikit berubah... Saya biasa edit"" story cantik + lagu menjadi sulit",1,2023-11-02 21:49:55
"Aneh banget sumpah sama instagram. Saya punya 2 akun, akun utama saya tidak bisa pakai music untuk postingan, dan tampilan nya masih versi lama (padahal sudah update ke versi terbaru). Sedangkan akun ke 2 saya tampilannya beda jauh dengan akun pertama. Bisa pakai music juga untuk postingan. Sudah saya setting², uninstal lalu instal lagi tetap saja. Bener bener gatau lagi. Apa perlu saya hapus akun utama terus bikin baru agar dapat versi terbaru?",1,2023-11-02 21:27:12
"Untuk fitur before after nya kemarin ada ini sudah hilang kenapa sih Instagram? Pas mau dipakai malah hilang. Gak dibutuhin kemarin ada, giliran pas mau dipakai fiturnya hilang. Tolong diperbaiki. Kalau soal update, apps Instagram di hp saya udah saya update dan tetap juga gak ada fitur before after nya. Tolong diperbaiki dan ditingkatkan lagi sistemnya biar gak hilang². Terima kasih.",5,2023-11-02 14:05:49
"Jangan mau update, lebih enak Instagram versi lama menurutku, apalagi untuk ngedit foto yang mau di story malah jadi makin ha berguna",2,2023-11-01 20:27:45
"hei ig kenapa instagram reels saya mendadak dipenuhi vidio"" meme indonesia. padahal saya sudah membangun algoritma reels saya agar di penuhi meme dari luar. mohon kembalikan seperti semula, aku mulai merasa bosan dengan isi reels yang entah mengapa bisa berubah serandom ini, sungguh menyebalkan.",2,2023-11-01 20:12:31
"kenapa sekarang instagram banyak bug nya, akun saya selalu keluar sendiri padahal gada yg ngubah sandi. dibuat login lagi emng bisa tp sela beberapa jam keluar lagi dengan sendirinya. udh coba berkali kali uninstal, update, ubah kata sandi, ganti username, tapi tetap saja selalu log out dengan sendirinya. tolong diperbaiki lagi ya??!!",3,2023-11-01 19:23:58
"cukup heran dengan aplikasi Instagram ini, kenapa minim banget fiturnya. Contoh saja fitur mengedit komentar tidak bisa, memberi react postingan atau komentar juga tidak bisa. Halooo ini Instagram meta loh buka Instagram lite. Masa Instagram meta kalah sama YouTube yang notabene nya cuma aplikasi menonton video, tapi fiturnya lebih lengkap dan simpel.",2,2023-11-01 15:33:58
Ini Instagram kenapa dah jdi jelek begini...saat mau bikin story pke lagu...eh malah lagu tdk tersedia...diulang ulang ttp ga bisa bener2 kecewa sama Instagram gak jelas bgt,1,2023-11-01 03:08:20
"Setelah di update langsung bug, loading nya lama, padahal wifi full dan kuota juga penuh, tapi pas di buka langsung hitam layarnya proses nya gak bisa, ih nyesel banget di update, suka banget sama aplikasinya plis ya mohon pihak Instagram untuk meng operasikan kembali Instagram agar pengguna juga nyaman menggunakannya. Karna di Instagram semua berada di sana plis lahh kembalikan Instagram biar gak ngebug, sumpah gak nyaman banget gak bisa buka Instagram 😭😭😭😭😭😭",3,2023-11-01 01:08:10
Bagi pengguna aplikasi ini harus hati2 terutama bagi para camaba jika ada tugas membuat vidio twibon kreatif.karna aplikasi ini jika kau mengambil background dari google dan idak bisa diedit/diubah dan masang foto kalian selama ada tulisan nama orang lain di background maka itu termasuk penipuan diaplikasi ini meskipun tidak ada kata yg menipu dan keterangan kalian dipostingan.meskipun kalian bukan penipu seperti saya.😓😓😓,1,2023-10-31 10:20:38
"Kurang bagus nih setelah update makin payah,terutama untuk fitur musiknya masa banyak lagu yang tidak bisa terbaca bahkan lagu indonesia sendiri banyak yang tidak bisa terbaca? aplikasi instagram makin kesini makin payah,coba perbaiki lagi deh lebih rutin!",1,2023-10-31 06:02:47
Aplikasi apaan ini?? Makin kesini makin kesono... Makin jelek aja fiturnya. Saat bikin reels dan disimpan musiknya hilang. Huft. Mending pake aplikasi lain aja dah...,1,2023-10-30 20:15:51
Instagram parah banget koq klo ada postingan kita yg tidak sesuai langsung di take down. Padahal cuma informasi bukan tindak kekerasan atau lainnya Dan klo kita mau save video sebelum di posting koq musiknya gak bisa ikut di save. Jauh banget sama TikTok. TikTok lebih keren,1,2023-10-30 18:17:40
"Semakin lama instagram tidak jelas, waktu saya mau posting foto dan musik di SG ternyata tidak bisa dan sekarang postingan yg kebaikan aja dilarang gimana sih nih harus nya bisa di perbaiki dong aplikasinya",1,2023-10-30 17:07:08
"banyak banget bug nya,susah juga nyari musik yang diinginkan.gak kayak dulu,skrg makin kesini makin menurun kualitasnya trus banyak banget video2 yg ga ramah buat ditonton",1,2023-10-30 14:23:38
Aplikasi ini sangat mengesankan. Antarmukanya yg intuitif membuatnya mudah di gunakan.. Dan fiturnya yang kaya memberikan pengalaman yg luar biasa. Saya khususnya suka bagaimana aplikasi ini menjaga segala hal tetap Ter organisir dengan baik.,5,2023-10-30 13:33:26
"Gatau sekarang ig gimana, akun saya dibatasi gabisa follow orang. Sekali di follow malah ter unfoll sendiri, udah dilaporkan berapa kali gaada perubahan. Padahal saya nge follback orang sehari paling 2 dan ga pernah pakai trick penambah followers. Bikin story yang ada musik nya juga gabisa disimpan ke galeri, karna musiknya hilang. Tolong dong diperbaiki, saya gabisa tenang akun saya begini. Terimakasih",3,2023-10-30 12:59:18
"Makin kesini instagram makin gk jelas fitur musiknya aja kalo nyari lagu indonesia selalu tidak ditemukan,coba perbaikin dulu bug""nya biar gk ada yg kecewa dengan aplikasi instagram 🇮🇩🇦🇪",1,2023-10-30 12:42:09
"Lumayan Kecewa.....karna mau buat story pake musik eh musik yg dicari sering kali Tidak ketemu kebanyakan lagu baratnya,,belum lagi iklannya banyak,vidio dan reels yg Tidak berfaedah dan tidak mendidik . padahal paling jarang like atau nonton Vidio gituan tapi malah makin banyak seliweran di beranda...",1,2023-10-30 12:40:41
"sangat tidak ramah, lagu luar sering tak bisa di pakai untuk story dan feed/sound ilang, seringnya postingan di take down padahal tidak membawa energi negatif dan satu lagi, filter nya udh gabisa di pake 😌😫 kenapa sii ig ga jelas bgt",1,2023-10-30 10:47:52
"Kecewa dan gak nyaman lagi ig sekarang kwalitasnya kurang di pantau, masak udah apload video bagus ada music nya selang berapa hari sudah hilang suaranya di cari di pencarian gak muncul",1,2023-10-30 09:40:51
"gak ngerti lagi deh sama Instagram, kenapa makin kesini makin kacau. mau pilih lagu gak bisa, filter pada ilang, ditambah lemot banget kalo mau log in. padahal hp aman2 aja",1,2023-10-30 07:05:14
"Gimana sih Instagram save foto yang dikasi musik di IG story gak bisa hanya bisa kalo tanpa musik 😒, banyak lagu juga yg gak bisa kebaca, akhir akhir ini juga upload foto sama video lama banngeet lagi 🙄. Cobalah diperbaiki viturnya...",1,2023-10-30 07:04:05
"Buruk aplikasi nya , terlalu banyak postingan yang kena filter. Bikin reel saja pakai musik juga dipilih pilih",1,2023-10-30 05:47:50
"Bener² kecewa sama Instagram. Gk bisa bikin story pake musik, dan pas dicari dipenyimpanan musiknya pada ilang😭 Tolong dong kedepannya perbaiki lagi",1,2023-10-30 05:21:38
"kecewa sy sm instagram skrng, suka nge bug setiap bikin story, udah ga bisa lagi bikin story, suka ngbleng²gitu, pokok ny sy kecewa bgt sm apk inii, klo kluar story suka keluar konten²yang ga bnrr, tolong ya di prbaikii lebih bagus lagii!!!",1,2023-10-30 04:55:32
Kualitas instagram makin buruk. Algoritmanya makin kacau. Musik sering ndak muncul. Video sering macet ndak bisa ditonton. Makin banyak fitur yg aneh dan ndak diperlukan,1,2023-10-30 04:38:49
"Video dulu pake musik, pas sekarang di buka musiknya sudah tidak ada tidak bisa diputar dengan musiknya. Kan kaya hambar liat videonya",1,2023-10-30 02:01:06
"Gatau pas updet Bln apa tiba"" efek tidak muncul... Dikira karena jaringan, ternyata bukan. Udah di uninstall sampe restart hp jg masih ga muncul efek/filternya .. 😣😣",1,2023-10-29 23:20:44
"Instagram sekarang semakin sensitif,mohon di maksimal kan dengan konten yg ada. Dan untuk musik pada postingan unggahan video terkadang tiba² tidak bersuara.",1,2023-10-29 23:10:05
"Serius kecewa sih lihat instagram sekarang lagunya pada gak ada semua, malah yang muncul lagu gajelas semua cari lagu lain juga gak bisa, padahal kemarin masih bisa, mau buat story susah mau pakai Igu karna lagunya pada gak muncul tolong di perbaiki Igi ya, sangat mengganggu kenyamanan penggunaan aplikasi instagram untuk membuat story menggunakan lagu, yang muncul Igu Inggris semua, mau cari lagu Indonesia juga gk ada.....",1,2023-10-29 22:49:02
"makin update makin banyak bug yang terjadi. seperti, Iklan nya terlalu banyak buat saya muak. Tolong diperbaiki bug nya, saya sebagai pengguna Instagram kecewa!",1,2023-10-29 22:13:21
Saya kecewaaaa sekali dengan istagram. Terlalu banyakkk iklan tidak bisa menyimpan video yg ada musiknya. Ga jelas banget!!!!,1,2023-10-29 21:36:42
"Setiap upload video story panjang, setelah part 1 sukses di upload, part selanjutnya selalu gagal, bahkan di tekan coba lagi tetap saja gagal. Sudah di unins kemudian di re-install kembali, tetap saja hasilnya sama.",1,2023-10-29 21:27:46
Kecewa tiap mw upload yg pake musik ga bisa karna musik yg dicari ga ada. Dan semakin banyak iklan ga jelas yg muncul jg.,1,2023-10-29 20:58:39
"Aplikasi ini sangat mengecewakan,, banyak perubahan, dan pihak instagram juga tdk adil dan sangat sangat tdk adil terutama disaat kita ngepost, jika post kita tdk disukai oleh pihak instagram, pihak instagram langsung menghapusnya ,, apa apaan coba, jd gak nyaman menggunakan fitur ini, kalo gak karena ingin melihat info atau berita disini, udah aku hapus uninstal aja nii apk",1,2023-10-29 20:55:17
"Ini instagram kenapa ga bisa liat postingan reels sendiri di menu reels. List followers&following udah beberapa hari jg error, keterangannya ""tidak tersedia"".",1,2023-10-29 20:34:36
"Instagram tambah di update kok tambah buruk bgt. Mau bikin story tapi lagu2 yg dicari sering gak dapet. Lagu2 lain yg mirip banyak bermunculan tapi yg saya cari susah nemuin nya. Ahh belum lagi makin bnyk video2 yg jorok dan penistaan keluar2 gak mendidik banget. Harusnya kan di saring gitu. Video adegan berdarah pun kdg masih lepas aja ditampilkan, hadeuuh parahh",1,2023-10-29 20:32:57
"Apk ini sangat bagus untuk komunikasi dll, tapi kurang nya misalkan kita punya 2 akun yg bisa di update cuma akun per1 akun ke2 nya nggk bisa, dan kalo bisa di tmbh fitur"" baru sih yg bagus dan menarik 🙂🙂",4,2023-10-29 13:27:36
Makin di update makin jelek ..sudah login eh malah gk bisa masuk notif ada masalah dengan sistem aplikasi dan tolong untuk musik indo nya kol gk ada kebanyakan musik luar..tolong di perbaiki untuk aplikasi instagramnya!!!!!!!,2,2023-10-29 02:22:07
"Sekarang rawan limit. Aku udah ga main instagram dari 2 bulan yang lalu dan baru ganti device hari ini, tapi baru follow 4 akun aja dari reels publik tiba² udah limit. Apa apaan sih. Makin kesini bukannya nyaman dipake malah makin kesana.",1,2023-10-28 20:34:50
Sya minta tolong hilang kan iklan slot yg banyak muncul di tempat saya setiap sya buka Ig pasti muncul semua iklan slot udah di coba untuk lapor ke puhak Ig masih aja muncul setiap iklan muncul hp saya jdi berat bang “tolong di hapus iklan yg ada di Ig atau di sg bisa gk”,1,2023-10-28 17:33:05
"aneh, aplikasi nya banyak akun instagram yang kena suspend, padahal ga melanggar paduan komunitas, tolong di perbaiki karna saya baca"" juga ada bug dan error. dan tolong agar akun"" Yang ke suspend agar di pulihkan,untuk pihak terkait agar selalu memperhatikan",3,2023-10-28 12:48:48
"mengapa ada fitur undangan di instagram? saya selaku orang yang sering banget curhat masalah pribadi ke idol skrg jdi susah gabisa, tolong dong di hilangkan, efek foto nya juga kenapa burem ketika di gunakan? instagram kenapa jadi seperti ini? di perbaiki lagi terimakasii",2,2023-10-28 11:40:02
"kenapa ga bisa diupdate sih trs kok kalo mau ngelike postingan gabisa sih trs kalo ada notif ga ada suaranya dan sekarang gaada musiknya kalo mau buat sg, tolong diperbaiki lagi",1,2023-10-28 09:47:20
"Instagram sekarang aneh, tidak sebagus dulu. saya sudah update untuk thema di pesan, tapi tidak muncul pilihan thema. tapi saat saya coba di akun Instagram saya yang satu lagi fitur nya berhasil, tolong lah kalo ngasih fitur baru jangan ngebug",1,2023-10-28 06:18:45
"kecewaaaa,apaapan orang mau pakai fitur lagu Indonesia atau lagu yang kits mau gabisa,fitur baru yang musik di dm itu ga keliatan,gabisa pakai fitur stories yang baru di dua akun?!?!?!?tolong perbaikkan dong!!!!!",1,2023-10-27 22:12:45
"tolong ya min kenapa kalau mau buka ig susah bgt, kesalahan teknis lah, ini lah, itu lah silahkan coba lagi gitu katanya, sudah 1minggu lo ini saya cobalagi2 sampe males tolong mohon segera di perbaiki .",1,2023-10-27 10:14:46
"Ini Instagram makin lama makin gajelas banyak banget bug mulai dari lagu yang gaada padahal lagu itu dulu ada, skrg saya mao mengganti email dan no hp baru di handphone baru saya malah tidak bisa bagaimana ini",1,2023-10-27 07:17:27
"Kenapa ya saat aku buka Instagram, tampilannya kayak ""Halaman ini tidak tersedia"" aku dah mencoba berkali kali buat mencet ""muat ulang"", tetep aj gak bisa, padahal, wifiku itu fine fine aja loh. Dan aku udah update aplikasinya, tapi tampilannya tetap kayak begitu, masa Instagram sekarang kayak gini, malah lebih parah lagi..., tolong developernya segera perbaiki masalah ini🙏🏿",1,2023-10-27 06:05:22
"Parah banget bug nya makin kesini makin kesana, udh keluar ig aja audio di feed orang masih bunyi, padahal posisi layar lg buka apk yg lain. Udh di bersihin semua apk yg running jg msh tetep bunyi. Paraaaah kecewa.",1,2023-10-26 23:03:05
"Saran sya tuk instagram. Klo bisa koment yg sudah di dikirim ,bisa diedit lg. Skrg ini blm ada fitur untuk edit komen di instagram. Jd klo kita komen ada salah ketik kata2 nya, gk bisa diedit, hanya bisa dihapus lalu ketik yg baru lg..capeek deh",1,2023-10-26 20:44:30
"Overall sudah bagus. Tapi tolong sistem refresh halaman dibuat seperti Twitter atau X, Yang mana tidak otomatis memperbarui ketika kita keluar ke beranda ponsel dan kembali lagi ke aplikasi. Mohon dapat diterapkan. Terimakasih",4,2023-10-26 15:36:32
"eror berkali-kali logout sendiri, auto hilang password yg udah disave, dan masih banyak lagi tidak perlu deskripsi panjang yang pasti pelayanan dan fitur makin buruk, Setiap hari selalu ada aja trouble nya, ini aplikasi tidak bisa dibuka sama sekali padahal sudah update, konyol , kalau bisa kasih bintang 1/2. Dah hahaha kalah sama Ig lite !",1,2023-10-26 10:29:02
"setiap mau post foto ke sg lewat album pilihan malah suka force close + ngeframe nih hp padahal Ram masih banyak, Memori internal masih banyak juga, baterai full and hp ga panas apk lain enteng tiktok juga enteng bukanya. Kok Ig malah Force Close Padahal cuma buka album buat milih fotonya langsung ngeframe",1,2023-10-26 05:04:04
